got_pizza,karma,age,raop_age,pop_request,activity,total_posts,raop_posts,prev_raop_post,words,poor,student,grateful,score
0,321,108.590706019,0,12,32,4,0,First Post,29,Poor not in post,No student,Grateful not in post,1
0,103,118.66505787,37.3329861111,3,14,1,0,First Post,97,Poor not in post,No student,Grateful not in post,-5
0,0,0,0,8,0,0,0,First Post,23,Poor not in post,No student,Grateful not in post,2
1,603,316.41474537,0,2,34,3,0,First Post,77,Poor not in post,No student,Grateful not in post,3
0,40,560.337708333,0,1,11,4,0,First Post,56,Poor not in post,No student,Grateful not in post,1
0,0,0,0,3,0,0,0,First Post,234,Poor not in post,No student,Grateful not in post,-2
0,2179,113.829259259,0,3,34,15,0,First Post,5,Poor not in post,No student,Grateful not in post,0
0,908,258.200300926,0,6,17,23,0,First Post,33,Poor not in post,Student,Grateful not in post,-5
0,609,528.951527778,0,1,17,25,0,First Post,47,Poor not in post,No student,Grateful not in post,4
0,132,63.8344791667,0,4,11,3,0,First Post,130,Poor not in post,Student,Grateful not in post,5
1,125,66.2273958333,0,3,10,1,0,First Post,44,Poor not in post,No student,Grateful not in post,1
0,87,131.618888889,60.8635416667,8,9,20,2,Posted Before,37,Poor not in post,No student,Grateful not in post,0
0,4340,598.113055556,0,3,94,102,0,First Post,292,Poor not in post,No student,Grateful not in post,10
1,352,186.028958333,0,9,24,3,0,First Post,66,Poor not in post,No student,Grateful not in post,2
0,1440,138.684594907,0,3,24,11,0,First Post,50,Poor not in post,No student,Grateful not in post,2
0,416,372.760740741,0,3,36,26,0,First Post,41,Poor not in post,No student,Grateful not in post,2
0,0,0,0,3,0,0,0,First Post,72,Poor not in post,No student,Grateful not in post,0
0,893,216.054016204,0,3,15,7,0,First Post,57,Poor not in post,No student,Grateful not in post,3
0,1180,181.905891204,0,4,13,9,0,First Post,39,Poor not in post,No student,Grateful not in post,-1
0,855,221.9875,0,1,28,22,0,First Post,11,Poor not in post,No student,Grateful not in post,0
1,27,90.5958101852,0,6,5,1,0,First Post,51,Poor not in post,No student,Grateful not in post,-4
0,27,39.6781597222,6.18804398148,7,11,4,0,First Post,67,Poor not in post,No student,Grateful not in post,3
0,5,1.31892361111,1.31892361111,2,1,0,0,First Post,65,Poor not in post,No student,Grateful not in post,-3
0,1019,456.987731481,0,6,17,2,0,First Post,100,Poor not in post,No student,Grateful not in post,-3
1,2570,472.225706019,0,3,22,55,0,First Post,73,Poor not in post,No student,Grateful not in post,3
0,0,0,0,1,0,0,0,First Post,90,Poor not in post,No student,Grateful not in post,8
0,4,1.05043981481,0,1,2,1,0,First Post,46,Poor not in post,No student,Grateful not in post,-4
1,274,15.6029861111,0.468599537037,2,8,2,0,First Post,62,Poor not in post,Student,Grateful not in post,0
